timestamp,signal,entry,exit,pnl,equity,w1,w2,w3
2026-05-03 22:01:22,-1,78739.67,78739.68,-0.002000635003930977,0.997999364996069,0.33,0.33,0.34
2026-05-03 22:02:26,-1,78739.68,78727.73,-0.0012411703984574812,0.9967581945976115,0.33,0.33,0.34
2026-05-03 22:06:47,-1,78729.86,78729.85,-0.001999364916945441,0.9947588296806661,0.33,0.33,0.34
2026-05-03 22:10:47,-1,78739.07,78728.01,-0.0012976803002618508,0.9987023196997381,0.33,0.33,0.34
2026-05-03 22:15:04,-1,78694.01,78713.11,-0.0032135612354743277,0.9954887584642638,0.33,0.33,0.34
2026-05-03 22:16:38,-1,78718.53,78719.26,-0.00204636773577936,0.9934423907284844,0.3293,0.3293,0.3415
2026-05-03 22:19:19,-1,78700.56,78699.56,-0.0019364680505450024,0.9915059226779394,0.3284,0.3284,0.3432
2026-05-03 22:21:34,-1,78711.5,78676.67,0.0002125102431030884,0.9917184329210424,0.3273,0.3273,0.3454
2026-05-03 22:23:17,-1,78686.97,78688.37,-0.0020889600908507583,0.9896294728301916,0.326,0.326,0.3481
2026-05-03 22:25:54,-1,78699.38,78699.38,-0.002,0.9876294728301916,0.3243,0.3243,0.3513
2026-05-03 22:27:37,-1,78699.38,78699.37,-0.001999364670979027,0.9856301081592126,0.3224,0.3224,0.3553
2026-05-03 22:28:52,-1,78699.38,78694.27,-0.0016753468705852205,0.9839547612886274,0.32,0.32,0.3601
2026-05-03 22:31:36,-1,78679.91,78689.99,-0.0026405701277493676,0.981314191160878,0.317,0.317,0.3659
2026-05-03 22:34:39,-1,78790.0,78853.31,-0.006017641832719741,0.9752965493281583,0.3142,0.3142,0.3717
2026-05-03 22:37:48,-1,78798.08,78790.55,-0.0015221964799143053,0.9737743528482441,0.3107,0.3107,0.3786
2026-05-03 22:39:45,-1,78790.01,78792.07,-0.0021307272330598906,0.9716436256151842,0.3065,0.3065,0.3869
2026-05-03 22:41:40,-1,78790.0,78789.99,-0.001999365401701056,0.9696442602134832,0.3014,0.3014,0.3971
2026-05-03 22:43:13,-1,78790.0,78790.0,-0.002,0.9676442602134832,0.2952,0.2952,0.4097
2026-05-03 22:44:15,1,78790.0,78801.21,-0.0012886153065105722,0.9663556449069726,0.2877,0.2877,0.4246
2026-05-03 22:45:16,1,78801.21,78804.66,-0.0017810947319211795,0.9645745501750513,0.2786,0.2786,0.4429
